name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,type_facility
Kintegra at S Ray Lowder, Elementary,350 Kennedy Dr,,Lincolnton,NC,28092,3216,,704-735-2741,https://www.kintegra.org,35.46307653,-81.24536369,HRSA
Kintegra Health -Windsor, Station Pharmacy,3146 Dallas High Shoals Hwy,,Dallas,NC,28034,1306,,704-874-0600,https://www.kintegra.org,35.31866225,-81.19116685,HRSA
Iredell Pediatrics,,728 Hartness Rd,,Statesville,NC,28677,3425,,704-380-6420,https://www.kintegra.org,35.79851548,-80.88097939,HRSA
Kintegra at Cramerton, Middle,601 Cramer Mountain Rd,,Cramerton,NC,28032,1671,,704-836-9603,https://www.kintegra.org,35.22297072,-81.08637306,HRSA
Kintegra at Rama Road, Elementary,1035 Rama Rd,,Charlotte,NC,28211,4340,,980-343-6730,https://www.kintegra.org,35.16954258,-80.77203024,HRSA
C.W. Williams Community," Health Center, Inc.",5800 Old Pineville Rd,,Charlotte,NC,28217,4106,,704-393-7720,https://www.cwwilliams.org,35.16102698,-80.87897008,HRSA
Addiction Recovery Medical Services,ARMS,536 Signal Hill Drive Ext.,,Statesville,NC,28625,,,(704) 872-0234,,35.802657,-80.851237,OTP
Kintegra Behavioral Health, - Statesville,1450 Fern Creek Dr,,Statesville,NC,28625,9376,,704-872-3782,https://www.kintegra.org,35.80289888,-80.85833341,HRSA
Daymark Recovery Services,Facility Based Crisis/Iredell,524 Signal Hill Drive Extension,,Statesville,NC,28625,,Iredell,704-871-1045,https://www.daymarkrecovery.org,35.8030977,-80.8507093,SU
Daymark Recovery Services,Facility Based Crisis/Iredell,524 Signal Hill Drive Extension,,Statesville,NC,28625,,Iredell,704-871-1045,https://www.daymarkrecovery.org,35.8030977,-80.8507093,MH
Addiction Recovery Medical Services,,536 Signal Hill Drive Extention,,Statesville,NC,28625,,Iredell,704-872-0234 x319,https://www.armscanhelp.com,35.8032413,-80.8512065,SU
Kintegra at Gardner Park, Elementary,738 Armstrong Park Rd,,Gastonia,NC,28054,3961,,704-866-6082,https://www.kintegra.org,35.25070999,-81.13279003,HRSA
Kintegra at Piedmont Middle, School,2970 S New Hope Rd,,Gastonia,NC,28056,8320,,704-349-4640,https://www.kintegra.org,35.23650288,-81.11500958,HRSA
Recovery Dynamics,,326 East Main Street,Suite B-01,Lincolnton,NC,28092,,Lincoln,704-735-3507,https://www.recoverydynamicsnc.com,35.4723685,-81.2527007,SU
McLeod Centers for Wellbeing,Statesville,636 Signal Hill Drive Extension,,Statesville,NC,28625,,Iredell,704-332-9001,https://www.mcleodcenters.org,35.8050562,-80.8510324,SU
Kintegra at Ashbrook High, School,2222 S New Hope Rd,,Gastonia,NC,28054,8428,,704-866-6600,https://www.kintegra.org,35.24312781,-81.12731506,HRSA
Daymark Recovery Services,,913 Carolina Avenue North,Highway 21 North,Statesville,NC,28625,,Iredell,704-873-1114,https://www.daymarkrecovery.org,35.8059406,-80.8779952,SU
Daymark Recovery Services,,913 Carolina Avenue North,Highway 21 North,Statesville,NC,28625,,Iredell,704-873-1114,https://www.daymarkrecovery.org,35.8059406,-80.8779952,MH
Kintegra Health Admin - New, Hope,504 S New Hope Rd,,Gastonia,NC,28054,4039,,704-874-1900,https://www.kintegra.org,35.25823829,-81.14893056,HRSA
Kintegra at New Hope, Elementary,137 Stowe Rd,,Gastonia,NC,28056,8560,,704-874-1901,https://www.kintegra.org,35.21041119,-81.08376529,HRSA
"Metro Treatment of North Carolina, LP",Gastonia Treatment Center,1455 East Franklin Blvd,,Gastonia,NC,28054,,,(980) 285-2990,,35.26093,-81.15608,OTP
Kintegra at Montclaire, Elementary,5801 Farmbrook Dr,,Charlotte,NC,28210,4100,,980-343-3635,https://www.kintegra.org,35.15228998,-80.86728998,HRSA
Gastonia Treatment Center,Metro Treatment of North Carolina LP,1455 East Franklin Boulevard,,Gastonia,NC,28054,,Gaston,980-285-2990,https://www.newseason.com/clinics/gastonia-treatment-center,35.2607373,-81.1562087,SU
Kintegra at Lincolnton High, School,803 N Aspen St,,Lincolnton,NC,28092,2142,,704-736-4234,https://www.kintegra.org,35.4791731,-81.26063476,HRSA
Kintegra Health,,336 Burtonwood Dr,,Gastonia,NC,28054,,,704-874-1900,https://www.kintegra.org,35.25743685,-81.15436477,HRSA
Kintegra at Claremont, Elementary,3384 E Main St,,Claremont,NC,28610,8665,,828-459-7921,https://www.kintegra.org,35.71657311,-81.14293373,HRSA
McLeod Centers for Wellbeing,,500 Archdale Drive,,Charlotte,NC,28217,,,(704) 332-9001,,35.150937,-80.892215,OTP
McLeod Centers for Wellbeing,Residential and SAIOP,500 Archdale Drive,,Charlotte,NC,28217,,Mecklenburg,704-332-9001,https://www.mcleodcenters.org,35.1509229,-80.8922039,SU
McLeod Centers for Wellbeing,Charlotte,500 Archdale Drive,,Charlotte,NC,28217,,Mecklenburg,704-332-9001,https://www.mcleodcenters.org,35.1508862,-80.892194,SU
Kintegra at Battleground, Elementary,301 Jeb Seagle Dr,,Lincolnton,NC,28092,2168,,704-736-1626,https://www.kintegra.org,35.47887407,-81.26411174,HRSA
Kintegra at  Woodhill, Elementary,1027 Woodhill Dr,,Gastonia,NC,28054,2448,,704-866-6295,https://www.kintegra.org,35.27863431,-81.18040687,HRSA
Kintegra at Grier Middle, School,1622 E Garrison Blvd,,Gastonia,NC,28054,5176,,704-836-9604,https://www.kintegra.org,35.25350431,-81.15476822,HRSA
Alexander Youth Network,PRTF,6220 Thermal Road,,Charlotte,NC,28211,,Mecklenburg,704-366-8712,https://www.alexanderyouthnetwork.org,35.1581914,-80.7575986,MH
Catawba Valley Family, Medicine - Claremont,3114 W Main St,,Claremont,NC,28610,9609,,828-459-7324,https://www.kintegra.org,35.71455278,-81.15221677,HRSA
Kintegra at Lincolnton, Middle,2361 Startown Rd,,Lincolnton,NC,28092,2172,,704-735-1120,https://www.kintegra.org,35.52024966,-81.26540532,HRSA
Kintegra at Sherwood, Elementary,1744 Dixon Rd,,Gastonia,NC,28054,5771,,704-866-6094,https://www.kintegra.org,35.24937681,-81.1547098,HRSA
New Beginnings of the,Southern Piedmont/Gaston County,825 East 2nd Avenue,,Gastonia,NC,28054,,Gaston,704-854-9102,https://www.newbeginningstreatmentcenter.org/,35.2606091,-81.1686157,SU
New Beginnings of the,Southern Piedmont/Gaston County,825 East 2nd Avenue,,Gastonia,NC,28054,,Gaston,704-854-9102,https://www.newbeginningstreatmentcenter.org/,35.2606091,-81.1686157,MH
Beaty Recovery Services,,436 East Long Avenue,Suite 2,Gastonia,NC,28054,2540,Gaston,704-864-3900,https://beatyrecovery.com,35.264985,-81.174848,SU
Kintegra Customer Support,,613 East Franklin Boulevard,,Gastonia,NC,28054,7150,,704-874-3316,https://www.kintegra.org,35.26229777,-81.17242327,HRSA
Self Concepts Clinical Counseling Serv,,1305 East Garrison Boulevard,,Gastonia,NC,28054,5127,Gaston,704-852-3874,https://,35.2524923,-81.162566,MH
Self Concepts Clinical Csl Servs Inc,,1305 East Garrison Boulevard,,Gastonia,NC,28054,5155,Gaston,704-852-3874,https://www.myselfconcept.com,35.2524923,-81.162566,SU
Kintegra at Highland School, of Technology,1600 N Morris St,,Gastonia,NC,28052,1739,,704-866-6105,https://www.kintegra.org,35.28040825,-81.19068836,HRSA
Kintegra at CaroMont Womens, Health - Ashley,1225 E Garrison Blvd,,Gastonia,NC,28054,5115,,704-865-7416,https://www.kintegra.org,35.25231505,-81.16325741,HRSA
Kintegra at Iredell County, Health Department,318 Turnersburg Hwy,,Statesville,NC,28625,2798,,704-874-9005,https://www.kintegra.org,35.82004951,-80.87546569,HRSA
Kintegra at Costner, Elementary,353 Old NC 277 Loop Rd,,Dallas,NC,28034,9795,,704-922-3522,,35.32757804,-81.22721334,HRSA
Salisbury Health Center,,"330 West Jake Alexander Boulevard, #102",,Salisbury,NC,28147,,,704-792-2242,https://www.crchc.org,35.65656313,-80.50019447,HRSA
Integrated Care of Greater Hickory,ICGH Gastoina,902 East Garrison Boulevard,,Gastonia,NC,28054,,Gaston,828-322-5915,https://www.integratedcarehickory.com,35.2535523,-81.168662,MH
Integrated Care of Greater Hickory,ICGH Gastoina,902 East Garrison Boulevard,,Gastonia,NC,28054,,Gaston,828-322-5915,https://www.integratedcarehickory.com,35.2535523,-81.168662,SU
Carolina Specialty Care PA,Addiction Medicine Services,293 Old Mocksville Road,,Statesville,NC,28625,,Iredell,704-872-8711,https://www.carolinaspecialtycare.com,35.8228361,-80.8319833,SU
Kintegra Health,,200 E 2nd Ave,,Gastonia,NC,28052,4358,,704-874-1902,https://www.kintegra.org,35.26119856,-81.17952208,HRSA
Kintegra at Love Memorial, Elementary,1463 Love Memorial School Rd,,Lincolnton,NC,28092,7091,,704-735-5649,,35.44931743,-81.2761629,HRSA
Kintegra at Riverbend, Middle School,4670 Oxford School Rd,,Claremont,NC,28610,9468,,828-241-2754,https://www.kintegra.org,35.75310849,-81.11644465,HRSA
Kintegra at Piedmont, Elementary,119 E 2nd Ave,,Gastonia,NC,28052,4370,,704-853-2428,https://www.kintegra.org,35.26024835,-81.18055657,HRSA
Kintegra Mobile Dentistry, Unit - 5,111 E 3rd Ave,,Gastonia,NC,28052,4317,,704-874-3300,https://www.kintegra.org,35.25889337,-81.18057174,HRSA
Kintegra Family Medicine -, 3rd Ave,111 E 3rd Ave,,Gastonia,NC,28052,4317,,704-874-3300,https://www.kintegra.org,35.25889337,-81.18057174,HRSA
Kintegra Behavioral Health, - Gastonia,409 S Oakland St,,Gastonia,NC,28052,4312,,704-874-9005,https://www.kintegra.org,35.25849988,-81.18024971,HRSA
Flynn Fellowship Home of,Gastonia Inc,311 South Marietta Street,,Gastonia,NC,28052,4365,Gaston,704-865-9395,https://www.flynnhome.info/,35.2597536,-81.1821293,SU
Kintegra at Bunker Hill, High,4675 Oxford School Rd,,Claremont,NC,28610,9468,,828-241-3355,https://www.kintegra.org,35.75371354,-81.11933565,HRSA
Kintegra Family Medicine -, Highland,609 N Highland St,,Gastonia,NC,28052,2179,,704-772-4700,https://www.kintegra.org,35.27128744,-81.19466407,HRSA
Daymark Recovery Services,Rowan Center,2129 Statesville Boulevard,,Salisbury,NC,28147,,Rowan,704-633-3616,https://www.daymarkrecovery.org,35.693257,-80.5185791,MH
Daymark Recovery Services,Rowan Center,2129 Statesville Boulevard,,Salisbury,NC,28147,,Rowan,704-633-3616,https://www.daymarkrecovery.org,35.693257,-80.5185791,SU
Kintegra at South Newton, Elementary,306 W I St,,Newton,NC,28658,3598,,828-464-4061,https://www.kintegra.org,35.65519504,-81.22869661,HRSA
Treatment Centers LLC,,"1504 Jake Alexander Blvd, W",,Salisbury,NC,28147,,,(704) 645-8539,,35.6788375,-80.5040956,OTP
Treatment Centers LLC,Rowan Treatment Associates,1504 Jake Alexander Boulevard West,,Salisbury,NC,28147,,Rowan,704-645-8539,https://www.nctreatmentcenters.com,35.6788726,-80.5041194,SU
Kintegra at Piedmont High,,2596 Robinwood Rd,,Gastonia,NC,28054,5877,,704-349-4640,,35.22828375,-81.15345117,HRSA
BrightView Health,Salisbury,1930 Jake Alexander Bouelvard,Suite 1000,Salisbury,NC,28147,,Rowan,833-510-4357,https://brightviewhealth.com,35.6918434,-80.5115508,SU
"BrightView, LLC",,1930 Jake Alexander Blvd,,Salisbury,NC,28147,,,(833) 510-4357,,35.691835,-80.511527,OTP
Kintegra at York Chester, Middle School,601 S Clay St,,Gastonia,NC,28052,2999,,704-836-9609,https://www.kintegra.org,35.25547569,-81.19243457,HRSA
AMG3 Monroe Rd,,9835 Monroe Rd,,Charlotte,NC,28270,1471,,704-208-4134,https://amitymed.org,35.13803241,-80.73797456,HRSA
Amity Medical Group Inc,,9835 Monroe Road,Suite B,Charlotte,NC,28270,,Mecklenburg,704-270-6877,https://www.amitymed.org,35.1380292,-80.737956,SU
Kintegra at Discovery High,,301 W 18th St,,Newton,NC,28658,2999,,704-874-9005,https://www.kintegra.org,35.67982828,-81.222336,HRSA
Kintegra at Newton Conover, High,338 W 15th St,,Newton,NC,28658,2998,,828-465-0920,,35.67769998,-81.22422,HRSA
Kintegra at Webb Street, School,1623 N Webb St,,Gastonia,NC,28052,0402,,704-864-9667,https://www.kintegra.org,35.26404263,-81.21200463,HRSA
HopeWay,,1717 Sharon Road West,,Charlotte,NC,28210,,Mecklenburg,980-859-2106,https://hopeway.org,35.118824,-80.8734945,MH
Highland Mist Home,,P.O. Box 25719,,Charlotte,NC,28229,,Mecklenburg,704-532-4770,https://www.mybrothershouseinc.net,,,MH
Water Mill Home,,,,Charlotte,NC,28215,,Mecklenburg,704-405-8890,https://www.newleafinc.info,,,MH
A Caring Home,Mr Bills Place,,,Charlotte,NC,28217,,Mecklenburg,704-525-2840,https://,,,MH
A Caring Home,Bonnies Home for Youth,,,Charlotte,NC,28217,,Mecklenburg,704-525-2840,https://,,,MH
